Time (s),CPU Utilization (%),Memory Usage (%),NIC Sent (bytes),NIC Received (bytes),Simulated Power Consumption (W)
1.68,100.0,90.4,99426652,308444206,50.0
3.19,99.8,91.1,99486762,308460360,49.9
4.50,100.0,91.1,99526401,308482607,50.0
5.98,100.0,91.0,99591025,308514596,50.0
7.19,100.0,91.2,99644027,308524131,50.0
8.50,100.0,91.6,99680398,308537358,50.0
9.94,100.0,91.8,99726485,308565801,50.0
11.13,100.0,91.8,99785835,308575885,50.0
12.30,100.0,91.8,99822159,308583951,50.0
13.50,100.0,91.7,99862757,308591558,50.0
14.72,100.0,91.7,99906176,308600785,50.0
15.91,100.0,91.7,99951311,308624555,50.0
17.11,100.0,91.2,99977216,308633544,50.0
18.32,100.0,91.2,100010093,308638367,50.0
19.54,100.0,91.2,100057086,308644572,50.0
20.77,100.0,91.3,100128720,308663832,50.0
21.96,100.0,91.4,100167094,308676898,50.0
23.16,100.0,91.4,100211070,308710345,50.0
24.36,100.0,91.4,100249351,308729541,50.0
25.78,100.0,91.7,100283933,308759039,50.0
27.40,100.0,92.2,100329486,308789521,50.0
29.09,100.0,92.6,100397896,308801019,50.0
30.29,100.0,92.6,100465543,308815645,50.0
31.53,100.0,92.7,100514432,308827168,50.0
32.99,100.0,92.9,100574480,308853389,50.0
34.25,100.0,92.9,100612009,308870200,50.0
35.64,100.0,93.1,100661427,308882306,50.0
36.91,100.0,93.2,100714366,308895915,50.0
38.13,100.0,93.2,100757438,308907643,50.0
39.89,100.0,94.5,100816194,308927973,50.0
42.11,100.0,95.2,100907606,308955940,50.0
43.45,100.0,94.6,100972671,308967474,50.0
44.96,100.0,94.2,101050435,308998503,50.0
46.56,100.0,94.8,101129632,309046847,50.0
47.98,100.0,94.7,101193092,309068137,50.0
49.53,100.0,94.6,101266484,309098935,50.0
50.93,100.0,95.2,101346117,309124267,50.0
52.45,100.0,95.3,101422216,309184095,50.0
53.81,100.0,95.3,101483788,309214652,50.0
55.33,100.0,95.0,101528130,309250900,50.0
56.57,100.0,95.0,101575678,309262791,50.0
57.86,100.0,95.4,101663682,309287450,50.0
59.30,100.0,95.4,101728723,309298213,50.0
60.70,100.0,95.4,101776075,309317317,50.0
